
  1  1   1 	2.487210625169-0.1498078541i  -2.487210625169+0.1498078541i
  2  5  -1 	0.007267770920-0.1073843233i  0.015393159719-0.1041135760i 	-0.017507715067-0.1940424319i  0.048960533474-0.2322771945i 	0.015076204419-0.1993217581i  0.092086337656-0.2327642584i
  2  6   1 	0.090190211170-0.1367174310i  0.103125455159-0.1392872747i 	0.226197646692-0.2817794622i  0.111700418891-0.2556696300i 	0.299854243733-0.2922807644i  0.146561951052-0.2656029165i
  2  6  -1 	0.001701505562-0.1040617378i  0.005351139560-0.1062705609i 	-0.028318869759-0.1856842354i  0.030043973934-0.2230672618i 	-0.017507715067-0.1940424319i  0.048960533474-0.2322771945i
  2  7   1 	0.056067256124-0.1279384828i  0.073817268736-0.1329142361i 	0.132710433378-0.2614413394i  0.059209856827-0.2364419157i 	0.226197646692-0.2817794622i  0.111700418891-0.2556696300i
  2  7  -1 	-0.009404951611-0.0965246932i  -0.003353560201-0.1007948952i 	-0.046577043746-0.1695343683i  -0.000799660036-0.2052532840i 	-0.028318869759-0.1856842354i  0.030043973934-0.2230672618i
  2  8   1 	0.021712098845-0.1148033212i  0.038404032179-0.1218694321i 	0.050938937330-0.2325456597i  0.005829278552-0.2091492825i 	0.132710433378-0.2614413394i  0.059209856827-0.2364419157i
  2  8  -1 	-0.022812933980-0.0852743424i  -0.016024686384-0.0913223696i 	-0.067420371353-0.1466819296i  -0.034807537248-0.1800006762i 	-0.046577043746-0.1695343683i  -0.000799660036-0.2052532840i
  2  9   1 	-0.007103316577-0.0981386272i  0.006466883868-0.1068515566i 	-0.012558266249-0.1968910518i  -0.039669584458-0.1755193571i 	0.050938937330-0.2325456597i  0.005829278552-0.2091492825i
  2  9  -1 	-0.035579966425-0.0710525900i  -0.029424770539-0.0784805624i 	-0.086413959055-0.1186543353i  -0.065399150855-0.1489459934i 	-0.067420371353-0.1466819296i  -0.034807537248-0.1800006762i
  2 10   1 	-0.028930572746-0.0789785550i  -0.018907925310-0.0887997914i 	-0.058463623862-0.1566624583i  -0.073982435888-0.1376489035i 	-0.012558266249-0.1968910518i  -0.039669584458-0.1755193571i
  2 10  -1 	-0.045711826985-0.0547853900i  -0.041061997953-0.0631114628i 	-0.100428751884-0.0872997450i  -0.088795891793-0.1140724044i 	-0.086413959055-0.1186543353i  -0.065399150855-0.1489459934i
  3  2  -1 	0.086589161921-0.1272963686i  0.123786333980-0.1335092136i 	0.092086337656-0.2327642584i  0.210375495898-0.2608055821i 	0.210375495898-0.2608055821i  0.423071083670-0.2819738287i
  3  3  -1 	0.034422224486-0.1125014025i  0.057664113255-0.1202628559i 	0.015076204419-0.1993217581i  0.092086337656-0.2327642584i 	0.092086337656-0.2327642584i  0.210375495898-0.2608055821i
  3  4  -1 	-0.000316995528-0.0952081812i  0.015393159719-0.1041135760i 	-0.037182153329-0.1622053259i  0.015076204419-0.1993217581i 	0.015076204419-0.1993217581i  0.092086337656-0.2327642584i
  3  5   1 	0.218570913580-0.1520132097i  0.248832721530-0.1431548545i 	0.590058868165-0.3108996507i  0.299854243733-0.2922807644i 	1.047690461083-0.2951452773i  0.423071083670-0.2819738287i
  3  5  -1 	-0.020629197717-0.0873452913i  -0.013283667588-0.0858995554i 	-0.062545108778-0.1528564493i  -0.017507715067-0.1940424319i 	-0.037182153329-0.1622053259i  0.015076204419-0.1993217581i
  3  6   1 	0.167289391933-0.1479664836i  0.198703237726-0.1506571437i 	0.387712633064-0.3000071551i  0.226197646692-0.2817794622i 	0.590058868165-0.3108996507i  0.299854243733-0.2922807644i
  3  6  -1 	-0.023793584004-0.0843635346i  -0.021713521129-0.0863455842i 	-0.068614317807-0.1454472160i  -0.028318869759-0.1856842354i 	-0.062545108778-0.1528564493i  -0.017507715067-0.1940424319i
  3  7   1 	0.100734592210-0.1387718169i  0.133035180604-0.1439837705i 	0.212375273634-0.2789041638i  0.132710433378-0.2614413394i 	0.387712633064-0.3000071551i  0.226197646692-0.2817794622i
  3  7  -1 	-0.030233090860-0.0776063041i  -0.026705568431-0.0814335303i 	-0.078934027834-0.1311506509i  -0.046577043746-0.1695343683i 	-0.068614317807-0.1454472160i  -0.028318869759-0.1856842354i
